Entity ID,Acquisition Date,Mission,Frame,Image Type,Camera Type,Camera Resolution,Film Type,Generation,Segment Count,Polarity,Operations Number,Down Load Available,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
DZB00403600089H015001,1967/02/08,4036,15,1,KH-7 High Resolution Surveillance,2 to 4 feet,9 inch by variable,3,2,Negative,00089,1,26°13'26.40"N,50°35'27.60"E,26°24'54"N,50°33'00"E,26°21'54"N,50°45'00"E,26°01'55.20"N,50°37'55.20"E,26°04'55.20"N,50°25'55.20"E,26.224,50.591,26.415,50.55,26.365,50.75,26.032,50.632,26.082,50.432,DZB00403600089H015001
DZB00403600089H016001,1967/02/08,4036,16,1,KH-7 High Resolution Surveillance,2 to 4 feet,9 inch by variable,3,2,Negative,00089,1,26°15'28.80"N,50°32'56.40"E,26°27'00"N,50°30'54"E,26°24'00"N,50°42'00"E,26°03'54"N,50°34'55.20"E,26°06'54"N,50°24'00"E,26.258,50.549,26.45,50.515,26.4,50.7,26.065,50.582,26.115,50.4,DZB00403600089H016001
